item.type,item.value,image.type,image.value,itemLabel.xml:lang,itemLabel.type,itemLabel.value,typeLabel.xml:lang,typeLabel.type,typeLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value,creatorLabel.xml:lang,creatorLabel.type,creatorLabel.value,collectionLabel.xml:lang,collectionLabel.type,collectionLabel.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,name_norm,creator_norm
uri,http://www.wikidata.org/entity/Q1979320,,,en,literal,"Glory Monument, Lviv",en,literal,monument,,,,,,,,,,,,,glory monument lviv,
uri,http://www.wikidata.org/entity/Q1577428,uri,http://commons.wikimedia.org/wiki/Special:FilePath/O98%20Idol%20von%20Sbrutsch%20mit%20Darstellung%20von%20Unterwelt%2C%20Erde%20und%20des%20Himmels%2C%20zirka%2010.%20Jh.%20n.%20Chr..JPG,en,literal,Zbruch Idol,en,literal,cult image,,,,,,,en,literal,Archaeological Museum of Kraków,,,,zbruch idol,
uri,http://www.wikidata.org/entity/Q1958341,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%B5%D1%80%D0%B1%20%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D0%B0.png,en,literal,coat of arms of Lviv,en,literal,local coat of arms,,,,,,,,,,,,,coat of arms of lviv,
uri,http://www.wikidata.org/entity/Q1984938,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9F%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA%20%D0%B6%D0%B5%D1%80%D1%82%D0%B2%D0%B0%D0%BC%20%D0%BA%D0%BE%D0%BB%D0%BB%D0%B0%D0%B1%D0%BE%D1%80%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B8%D1%81%D1%82%D0%BE%D0%B2.jpg,en,literal,The Shot in the Back,en,literal,sculpture,,,,,,,,,,,,,the shot in the back,
uri,http://www.wikidata.org/entity/Q1997465,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A1%D0%BA%D0%B0%D0%BB%D1%8B%20%D0%90%D0%B4%D0%B0%D0%BB%D0%B0%D1%80%D1%8B.jpg,en,literal,Adalary,en,literal,island,,,,,,,,,,,,,adalary,
uri,http://www.wikidata.org/entity/Q2333647,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20Arms%20of%20Chernivtsi%20Oblast.svg,uk,literal,Герб Чернівецької області,en,literal,coat of arms,,,,,,,,,,,,,герб чернівецької області,
uri,http://www.wikidata.org/entity/Q2596615,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zaporizhia%20Oblast.svg,en,literal,flag of Zaporizhzhia Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of zaporizhzhia oblast,
uri,http://www.wikidata.org/entity/Q2383022,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9C%D0%BE%D0%B3%D0%B8%D0%BB%D0%B0%20%D0%BF%D0%BE%D0%B5%D1%82%D0%B0%20%D0%A2.%20%D0%93.%20%D0%A8%D0%B5%D0%B2%D1%87%D0%B5%D0%BD%D0%BA%D0%B0%20%D1%82%D0%B0%20%D0%BF%D0%B0%D0%BC%E2%80%99%D1%8F%D1%82%D0%BD%D0%B8%D0%BA%20%D0%A2.%D0%93.%D0%A8%D0%B5%D0%B2%D1%87%D0%B5%D0%BD%D0%BA%D1%83%20%D0%9A%D0%B0%D0%BD%D1%96%D0%B2.jpg,en,literal,Tarass Shevtchenko Tomb,en,literal,monument,,,,,,,,,,,,,tarass shevtchenko tomb,
uri,http://www.wikidata.org/entity/Q2714629,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Volyn%20Oblast%20%283-2%29.svg,en,literal,flag of Volyn Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of volyn oblast,
uri,http://www.wikidata.org/entity/Q2254138,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9A%D1%83%D1%80%D0%B3%D0%B0%D0%BD%20%D0%A7%D1%91%D1%80%D0%BD%D0%B0%D1%8F%20%D0%BC%D0%BE%D0%B3%D0%B8%D0%BB%D0%B0.jpg,en,literal,Black Grave,en,literal,burial mound,,,,,,,,,,,,,black grave,
