museum.type,museum.value,coord.datatype,coord.type,coord.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value
uri,http://www.wikidata.org/entity/Q28704414,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.996837 50.3685127),uk,literal,Гадяцький історико-краєзнавчий музей,uk,literal,Гадяцька міська громада
uri,http://www.wikidata.org/entity/Q59291087,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.835086 49.451833),en,literal,Balakliya Regional Museum of Local Lore,en,literal,Balakliia
uri,http://www.wikidata.org/entity/Q111974612,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(24.610401641 49.408640774),uk,literal,Рогатинський історико-краєзнавчий музей «Опілля»,en,literal,Ivano-Frankivsk Oblast
uri,http://www.wikidata.org/entity/Q118610830,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.771019 51.949432),uk,literal,Ямпільський краєзнавчий музей,en,literal,Yampil
uri,http://www.wikidata.org/entity/Q3330552,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.8045 48.0251),en,literal,Donetsk Region Museum of local history,en,literal,Donetsk
uri,http://www.wikidata.org/entity/Q2467688,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.521141 50.441696),en,literal,PinchukArtCentre,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q4281584,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.5575 47.09277778),en,literal,Mariupol Museum of Local Lore,en,literal,Mariupol Raion
uri,http://www.wikidata.org/entity/Q4164364,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.683333333 47.766666666),en,literal,Dokuchaievsk Zoo,en,literal,Dokuchaievsk
uri,http://www.wikidata.org/entity/Q61114923,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.522072179 50.168885718),en,literal,Bohodukhiv museum of local history,en,literal,Bohodukhiv
uri,http://www.wikidata.org/entity/Q30972564,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.697546083 48.535203014),uk,literal,Костянтинівський міський краєзнавичй музей,en,literal,Kostiantynivka
uri,http://www.wikidata.org/entity/Q110888208,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(24.3541 49.6445),en,literal,PARK3020,en,literal,Strilky
uri,http://www.wikidata.org/entity/Q3019652,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(25.318055555 50.739444444),en,literal,Pharmacy Museum in Lutsk,en,literal,Lutsk
uri,http://www.wikidata.org/entity/Q47093439,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.442886948 47.40022698),en,literal,Bashtan Museum of Local History,en,literal,Bashtanka
uri,http://www.wikidata.org/entity/Q110795115,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(25.9571 48.2553),en,literal,Air and Space Museum in Chernivtsi,en,literal,Chernivtsi
uri,http://www.wikidata.org/entity/Q25433234,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(24.830833333 48.155555555),en,literal,Hutsul museum in Verkhovyna,en,literal,Verkhovyna
uri,http://www.wikidata.org/entity/Q116756614,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(22.9875 48.547222222),uk,literal,Свалявський історичний музей,en,literal,Svaliava
uri,http://www.wikidata.org/entity/Q61114923,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.522072179 50.168885718),en,literal,Bohodukhiv museum of local history,en,literal,Kharkiv Oblast
uri,http://www.wikidata.org/entity/Q1427503,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.51305556 50.44833333),en,literal,Golden Gate,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q3868374,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.56144444 49.5835),en,literal,Poltava Local History Museum,en,literal,Poltava
uri,http://www.wikidata.org/entity/Q88875279,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(28.8329 45.33282),en,literal,Danube Flotilla Monument,en,literal,Nezalezhnosti Avenue
uri,http://www.wikidata.org/entity/Q16689921,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.275925169 49.195639178),en,literal,Izium museum of local history,en,literal,Izium
uri,http://www.wikidata.org/entity/Q31891070,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.297695279 50.737276778),uk,literal,Зоопарк ХІІ Місяців,,,
uri,http://www.wikidata.org/entity/Q20082494,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.207841853 49.992263914),en,literal,Railway museum in Kharkiv,en,literal,Kharkiv
uri,http://www.wikidata.org/entity/Q3330552,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.8045 48.0251),en,literal,Donetsk Region Museum of local history,en,literal,Donetsk Oblast
uri,http://www.wikidata.org/entity/Q4081696,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.35333333 46.19388889),en,literal,Local museum in Bilhorod-Dnistrovskyi,en,literal,Bilhorod-Dnistrovskyi
uri,http://www.wikidata.org/entity/Q25432073,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.758055555 49.433888888),en,literal,Medenychi Zoo Limpopo,en,literal,Drohobych Raion
uri,http://www.wikidata.org/entity/Q4496313,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.225 50.002777777),en,literal,Kharkiv Zoo,en,literal,Kharkiv
uri,http://www.wikidata.org/entity/Q110966452,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.663055555 48.568888888),uk,literal,Екопарк «Долина Вовків»,en,literal,Zakarpattia Oblast
uri,http://www.wikidata.org/entity/Q1989108,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(24.032345 49.842671),en,literal,Pharmacy Museum,en,literal,Lviv
uri,http://www.wikidata.org/entity/Q2338568,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(29.2164033 50.4774861),en,literal,Radomysl Castle,en,literal,Radomyshl
uri,http://www.wikidata.org/entity/Q15120993,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.54485 44.594369444),en,literal,Sevastopol Zoo,,,
